
Name                                     Length
----                                     ------
RA-01-E1-step1-before-next.png           247825
RA-01-E2-step2-selected.png              207707
RA-01-E3-step1-after-back.png            247820
RA-01-E4-step4-preserved.png             220556
RA-01-E5-step5-height-preserved.png      211512
RA-02-file-list.txt                         793
RA-02-H-1366x768.png                     182387
RA-02-H-1440x900.png                     183285
RA-02-H-360x800.png                       94399
RA-02-H-390x844.png                       96737
RA-02-H-768x1024.png                     113575
RA-02-H-820x1180.png                     113547
RA-02-overflow-matrix.json                 1092
RA-02-S1-1366x768.png                    212537
RA-02-S1-1440x900.png                    247251
RA-02-S1-360x800.png                      99159
RA-02-S1-390x844.png                     101740
RA-02-S1-768x1024.png                    177880
RA-02-S1-820x1180.png                    178236
RA-02-S4-1366x768.png                    214619
RA-02-S4-1440x900.png                    219586
RA-02-S4-360x800.png                      97270
RA-02-S4-390x844.png                     103701
RA-02-S4-768x1024.png                    149797
RA-02-S4-820x1180.png                    149651
RA-02-S5-1366x768.png                    205698
RA-02-S5-1440x900.png                    210747
RA-02-S5-360x800.png                      96267
RA-02-S5-390x844.png                     100410
RA-02-S5-768x1024.png                    140088
RA-02-S5-820x1180.png                    140097
RA-03-E1-history-date-filter-focused.png 104998
RA-03-E2-step1-checkbox-focused.png      133248
RA-03-E3-step4-radio-focused.png         128249
RA-03-E4-next-focused.png                132718
RA-03-E5-save-focused.png                116335
ra03-keyboard-evidence.mjs                 6337
RA-03-keyboard-log.json                   10505
RA-03-script-stdout.txt                     688
RA-04-build-exit.txt                          8
RA-04-build-output.txt                     2526
RA-04-evidence-inventory.txt                  0
RA-04-final-status-snippet.txt              362
RA-04-git-diff-name-only.txt               1810
RA-04-git-diff-stat.txt                    2302
RA-04-git-ra-scoped.txt                   17280
RA-04-git-status.txt                       6534
RA-04-js-test-exit.txt                        8
RA-04-js-test-output.txt                   5960
RA-04-member-view-test-exit.txt               8
RA-04-member-view-test-output.txt          3964
RA-04-php-test-exit.txt                      18
RA-04-php-test-output.txt                  5198
RA-04-shared-files-diff.txt               16605


